fanout,topology,mode,seed,nodes,attackers,max_hops,unknown_peer_reserve,loss_bps,churn_bps,retry_ms,max_retries,legitimate_publication_rounds,signed_spam_rounds,configured_supernodes,supernode_fanout,configured_adversarial_discovery_candidates,supernode_links_per_peer,discovery,delivery_bps,worst_cohort_bps,signed_spam_suppression_bps,p95_ms,total_protocol_bytes,protocol_bytes_per_interested_delivery,honest_peer_combined_bytes_p95,honest_peer_codec_bytes_p95,honest_peer_signature_checks_p95,honest_peer_reputation_rebuild_entries_p95,honest_peer_peak_content_bytes_p95
4,peer-mesh,neutral,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,5660,100,1862,189,11837216,20913,37149,37082,11,0,8089
4,peer-mesh,local-behavior,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,9310,8900,729,135,13050437,14017,44118,43882,16,0,9051
4,peer-mesh,shared-reputation,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,9320,8900,6104,135,19522445,20946,54470,51480,25,12,28584
4,hybrid-supernodes,neutral,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,9969,9900,68,128,20040145,12072,68558,68322,31,0,12661
4,hybrid-supernodes,local-behavior,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,9975,9900,66,128,20046420,12068,68549,68287,31,0,12662
4,hybrid-supernodes,shared-reputation,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,9981,9961,5420,126,51727768,31123,202372,201244,42,0,19633
6,peer-mesh,neutral,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,0,88,15878732,15878,56612,56337,20,0,9566
6,peer-mesh,local-behavior,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,0,78,15918013,15918,57691,57455,20,0,9566
6,peer-mesh,shared-reputation,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,5833,78,21212289,21212,61252,57844,28,12,29016
6,hybrid-supernodes,neutral,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,0,120,22150740,13303,77822,77586,33,0,13078
6,hybrid-supernodes,local-behavior,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,0,120,22161669,13310,77822,77586,33,0,13040
6,hybrid-supernodes,shared-reputation,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,5387,120,52806299,31715,214300,212122,44,0,20033
8,peer-mesh,neutral,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,0,70,17492476,17492,63270,62995,22,0,9760
8,peer-mesh,local-behavior,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,0,66,17541055,17541,63682,63407,22,0,9760
8,peer-mesh,shared-reputation,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,5833,66,21961569,21961,64573,62084,29,12,28848
8,hybrid-supernodes,neutral,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,0,118,22602895,13575,81599,81254,34,0,13088
8,hybrid-supernodes,local-behavior,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,0,118,22613353,13581,81385,81149,34,0,12998
8,hybrid-supernodes,shared-reputation,5642820479741875522,1000,200,16,1,200,300,80,3,1,8,16,192,8,3,mixed,10000,10000,5387,118,53188725,31945,216058,214255,44,0,19988
